,Unnamed: 0,vpp0ch0,vpp1ch1,vpp2ch2,vpp3ch3,UVC,UVB,Rch,Gch,Bch,QilMax,VR1,VR4,VR5,VR5B,qpermax,sigmavis,name,target,qilmax
0,0,4657872,1987224,786184,524808,3947656,7413998,302173,790422,949414,426,707,312,1316,1053,0.6519097653847664,2042009,MF4 Start BB hinten DSV,1,0.4340291531666954
1,1,4660478,1995440,777472,514700,3832147,7413447,302496,792565,949227,428,720,316,1342,1073,0.6512888669422834,2044288,MF4 Start BB hinten DSV,1,0.431530759546097
2,2,4663697,2008817,798604,515034,3836480,7469595,302135,790237,949442,430,711,327,1475,1180,0.6336676020958848,2041814,MF4 Start BB hinten DSV,1,0.430523753130981
3,3,4661264,1990053,784261,510225,3817507,7459326,303721,790114,950095,426,728,321,1366,1093,0.6379808825455021,2043930,MF4 Start BB hinten DSV,1,0.4296369918824099
4,4,4652574,2002229,781436,516064,3824784,7464566,302694,792312,948063,430,723,318,1353,1082,0.6558044619543051,2043069,MF4 Start BB hinten DSV,1,0.4346108524552297
5,5,4676110,1990629,783490,523209,3811791,7498889,303647,790007,949129,425,717,312,1316,1053,0.6357446964692065,2042783,MF4 Start BB hinten DSV,1,0.4333595843666412
6,6,4657256,1986185,788860,511224,3830029,7490399,303020,791060,949514,426,719,322,1404,1123,0.6459724850078569,2043594,MF4 Start BB hinten DSV,1,0.4342515313174641
7,7,4657882,1992851,788450,515134,3815732,7512654,302586,790736,949406,427,720,320,1343,1074,0.6332253831397432,2042728,MF4 Start BB hinten DSV,1,0.4308557305021908
8,8,4676641,1998277,791190,511640,3832937,7510027,303538,790568,949245,427,737,323,1357,1085,0.6464301789391644,2043351,MF4 Start BB hinten DSV,1,0.4305579755255047
9,9,4657024,1999711,790171,525068,3832937,7526218,303289,792204,950955,429,722,315,1341,1073,0.632566618968844,2046448,MF4 Start BB hinten DSV,1,0.4327164256620776
10,0,4266439,1985203,791299,532043,3809396,7354058,291801,773963,938843,465,694,345,1532,1225,0.6519097653847664,2004607,MF4 Start BB vorne DSV,1,0.4340291531666954
11,1,4277995,1988093,794865,532297,3702465,7400908,293331,774086,940929,464,689,345,1591,1272,0.6512888669422834,2008346,MF4 Start BB vorne DSV,1,0.431530759546097
12,2,4277729,1990660,784981,531243,3705462,7425861,293131,774877,939819,465,700,342,1551,1241,0.6336676020958848,2007827,MF4 Start BB vorne DSV,1,0.430523753130981
13,3,4267860,2000111,794794,530852,3695762,7446376,290902,774900,942048,468,704,349,1562,1249,0.6379808825455021,2007850,MF4 Start BB vorne DSV,1,0.4296369918824099
14,4,4263279,1984917,780033,522503,3706496,7468288,292951,776013,940347,465,703,345,1536,1228,0.6558044619543051,2009311,MF4 Start BB vorne DSV,1,0.4346108524552297
15,5,4274698,1985697,781942,524922,3703949,7458570,293293,775368,941144,464,704,344,1588,1270,0.6357446964692065,2009805,MF4 Start BB vorne DSV,1,0.4333595843666412
16,6,4269154,1990040,789472,529803,3703451,7470557,291496,775913,940857,466,701,345,1559,1247,0.6459724850078569,2008266,MF4 Start BB vorne DSV,1,0.4342515313174641
17,7,4270003,1984964,792365,529178,3693551,7484196,292448,773786,941878,464,713,346,1561,1249,0.6332253831397432,2008112,MF4 Start BB vorne DSV,1,0.4308557305021908
18,8,4276111,1987867,798051,533347,3709109,7505898,291783,775922,939748,464,697,346,1601,1281,0.6464301789391644,2007453,MF4 Start BB vorne DSV,1,0.4305579755255047
19,9,4259005,1984967,786183,524098,3709109,7515276,293223,774193,941734,466,711,347,1653,1323,0.632566618968844,2009150,MF4 Start BB vorne DSV,1,0.4327164256620776
20,0,3882512,1769162,792430,503270,3679585,6709656,282382,744241,887569,455,719,374,1793,1434,0.6519097653847664,1914192,MF6 Start BB hinten DSV,1,0.4340291531666954
21,1,3908514,1765918,801056,521313,3549647,6682864,282165,744325,889870,451,671,362,1770,1416,0.6512888669422834,1916360,MF6 Start BB hinten DSV,1,0.431530759546097
22,2,3879854,1767356,789434,497551,3566938,6708066,282023,745616,891168,455,707,376,1852,1482,0.6336676020958848,1918807,MF6 Start BB hinten DSV,1,0.430523753130981
23,3,3890434,1762648,790001,504240,3560152,6735489,282634,745284,888214,453,693,370,1848,1478,0.6379808825455021,1916132,MF6 Start BB hinten DSV,1,0.4296369918824099
24,4,3891891,1774109,791095,501116,3567764,6759737,282850,745393,888357,455,706,375,1801,1441,0.6558044619543051,1916600,MF6 Start BB hinten DSV,1,0.4346108524552297
25,5,3880934,1776038,788392,506335,3561307,6779441,283355,744317,888492,457,695,371,1749,1399,0.6357446964692065,1916164,MF6 Start BB hinten DSV,1,0.4333595843666412
26,6,3903187,1765355,802062,501531,3568370,6783863,283856,745424,890541,452,685,376,1839,1471,0.6459724850078569,1919821,MF6 Start BB hinten DSV,1,0.4342515313174641
27,7,3890576,1766366,795870,504260,3565145,6778826,282113,745140,887883,454,689,374,1837,1470,0.6332253831397432,1915136,MF6 Start BB hinten DSV,1,0.4308557305021908
28,8,3892425,1763936,791621,504825,3555193,6786052,282849,744809,887919,453,683,370,1841,1472,0.6464301789391644,1915577,MF6 Start BB hinten DSV,1,0.4305579755255047
29,9,3893241,1778175,787376,497875,3555193,6798939,281933,744095,889476,456,696,377,1869,1495,0.632566618968844,1915504,MF6 Start BB hinten DSV,1,0.4327164256620776
30,0,4169207,1874715,744592,494966,3731047,7017661,292954,777336,907227,449,713,342,1450,1160,0.6519097653847664,1977517,MF6 Start BB vorne DSV,1,0.4340291531666954
31,1,4200112,1909735,770898,523326,3590689,7013607,291046,778911,907146,454,650,338,1552,1241,0.6512888669422834,1977103,MF6 Start BB vorne DSV,1,0.431530759546097
32,2,4179054,1868913,742333,486237,3572619,7041855,290525,778366,906046,447,721,345,1479,1183,0.6336676020958848,1974937,MF6 Start BB vorne DSV,1,0.430523753130981
33,3,4190886,1892358,762505,503720,3586173,7117562,290381,779333,907469,451,714,345,1511,1209,0.6379808825455021,1977183,MF6 Start BB vorne DSV,1,0.4296369918824099
34,4,4167742,1876371,736277,493647,3582087,7103572,290255,781223,909116,450,744,339,1437,1150,0.6558044619543051,1980594,MF6 Start BB vorne DSV,1,0.4346108524552297
35,5,4154309,1860084,735708,486539,3574837,7144492,290309,777581,905687,447,689,343,1501,1201,0.6357446964692065,1973577,MF6 Start BB vorne DSV,1,0.4333595843666412
36,6,4176599,1873242,751803,503730,3590565,7119277,290327,780009,906215,448,704,338,1475,1180,0.6459724850078569,1976551,MF6 Start BB vorne DSV,1,0.4342515313174641
37,7,4173971,1869561,750712,493616,3582835,7168950,290975,779510,905285,447,709,344,1549,1239,0.6332253831397432,1975770,MF6 Start BB vorne DSV,1,0.4308557305021908
38,8,4168924,1874020,748257,497705,3572668,7150898,290508,778949,906994,449,717,341,1482,1185,0.6464301789391644,1976451,MF6 Start BB vorne DSV,1,0.4305579755255047
39,9,4171656,1863001,743220,486992,3572668,7164130,290562,777713,905616,446,723,345,1482,1186,0.632566618968844,1973891,MF6 Start BB vorne DSV,1,0.4327164256620776
40,0,4107673,1806649,756880,496166,3741889,6957039,296530,783397,938136,439,697,332,1493,1194,0.6519097653847664,2018063,MF8 Start BB hinten DSV,1,0.4340291531666954
41,1,4124128,1819855,757557,525022,3625691,6963236,296062,785004,937903,441,657,315,1410,1128,0.6512888669422834,2018969,MF8 Start BB hinten DSV,1,0.431530759546097
42,2,4128306,1811954,748005,502245,3634421,6991415,296997,784189,940831,438,679,323,1499,1199,0.6336676020958848,2022017,MF8 Start BB hinten DSV,1,0.430523753130981
43,3,4110649,1806493,748929,499099,3630341,6989007,295864,782269,936444,439,686,327,1530,1224,0.6379808825455021,2014577,MF8 Start BB hinten DSV,1,0.4296369918824099
44,4,4109669,1799693,754204,493426,3636103,7024907,296619,783082,938261,437,712,331,1548,1238,0.6558044619543051,2017962,MF8 Start BB hinten DSV,1,0.4346108524552297
45,5,4105033,1814135,739555,500315,3634328,7046319,296765,783007,938199,441,698,323,1480,1184,0.6357446964692065,2017971,MF8 Start BB hinten DSV,1,0.4333595843666412
46,6,4099383,1806083,734101,489822,3635560,7020764,296997,784826,937966,440,717,326,1424,1139,0.6459724850078569,2019789,MF8 Start BB hinten DSV,1,0.4342515313174641
47,7,4110205,1810188,746898,496506,3632393,7025107,295809,783798,939721,440,712,328,1477,1182,0.6332253831397432,2019328,MF8 Start BB hinten DSV,1,0.4308557305021908
48,8,4107566,1805320,735958,493326,3613216,7030066,296765,782153,938092,439,709,325,1488,1190,0.6464301789391644,2017010,MF8 Start BB hinten DSV,1,0.4305579755255047
49,9,4122770,1802540,746066,489162,3613216,7036332,296133,783759,936937,437,715,330,1471,1177,0.632566618968844,2016829,MF8 Start BB hinten DSV,1,0.4327164256620776
50,0,4298696,1788841,755677,494801,3891101,7045986,289033,778888,921012,416,730,319,1398,1118,0.6519097653847664,1988933,MF8 Start BB vorne DSV,1,0.4340291531666954
51,1,4309731,1789661,761540,496205,3778851,7088359,290723,777266,921818,415,688,320,1436,1149,0.6512888669422834,1989807,MF8 Start BB vorne DSV,1,0.431530759546097
52,2,4304798,1796379,752343,483111,3777710,7094072,289500,778135,920073,417,733,326,1459,1167,0.6336676020958848,1987708,MF8 Start BB vorne DSV,1,0.430523753130981
53,3,4322100,1791403,765493,491705,3785821,7129405,288978,779824,919911,414,700,324,1504,1203,0.6379808825455021,1988713,MF8 Start BB vorne DSV,1,0.4296369918824099
54,4,4299429,1798590,750498,495771,3777360,7153314,289303,778602,920457,418,723,318,1401,1121,0.6558044619543051,1988362,MF8 Start BB vorne DSV,1,0.4346108524552297
55,5,4316702,1786905,764903,496280,3795464,7141950,289517,778297,921711,413,689,320,1392,1113,0.6357446964692065,1989525,MF8 Start BB vorne DSV,1,0.4333595843666412
56,6,4330495,1804491,755562,496945,3812420,7093118,290616,780555,922632,416,691,317,1403,1122,0.6459724850078569,1993803,MF8 Start BB vorne DSV,1,0.4342515313174641
57,7,4314298,1812702,768557,497255,3806697,7098415,290093,781477,924798,420,692,325,1477,1182,0.6332253831397432,1996368,MF8 Start BB vorne DSV,1,0.4308557305021908
58,8,4325863,1812595,767036,499265,3809520,7128442,292613,783713,923018,419,701,321,1417,1134,0.6464301789391644,1999344,MF8 Start BB vorne DSV,1,0.4305579755255047
59,9,4312071,1798536,771478,506724,3809520,7117352,290364,779933,923769,417,684,318,1441,1152,0.632566618968844,1994066,MF8 Start BB vorne DSV,1,0.4327164256620776
60,0,3722299,1684566,715693,483387,3239159,5731593,263868,705720,842195,452,708,369,1524,1219,0.6519097653847664,1811783,NF BB DSV hinten,1,0.4340291531666954
61,1,3727731,1686129,704182,485302,3136779,5779819,264551,707655,840422,452,693,362,1563,1250,0.6512888669422834,1812628,NF BB DSV hinten,1,0.431530759546097
62,2,3736961,1672681,707120,485611,3137024,5841549,264569,705267,841971,447,705,359,1553,1242,0.6336676020958848,1811807,NF BB DSV hinten,1,0.430523753130981
63,3,3736276,1682337,714687,487566,3128944,5871098,264695,704199,840512,450,701,364,1539,1231,0.6379808825455021,1809406,NF BB DSV hinten,1,0.4296369918824099
64,4,3736279,1686147,703621,482591,3133747,5931379,264136,704452,841927,451,694,363,1569,1255,0.6558044619543051,1810515,NF BB DSV hinten,1,0.4346108524552297
65,5,3728476,1669471,715659,488076,3138260,5942541,263850,704284,840969,447,687,362,1509,1207,0.6357446964692065,1809103,NF BB DSV hinten,1,0.4333595843666412
66,6,3725707,1693286,716328,496341,3130259,5946605,264569,704230,844486,454,697,361,1498,1198,0.6459724850078569,1813285,NF BB DSV hinten,1,0.4342515313174641
67,7,3748378,1679655,715475,490216,3130882,5977741,264785,705544,841542,448,694,360,1536,1228,0.6332253831397432,1811871,NF BB DSV hinten,1,0.4308557305021908
68,8,3737329,1691458,712690,480877,3130620,5991175,265684,704868,842275,452,708,370,1578,1263,0.6464301789391644,1812827,NF BB DSV hinten,1,0.4305579755255047
69,9,3733072,1683625,709311,494715,3130620,6039616,264120,708187,842321,451,689,356,1548,1238,0.632566618968844,1814628,NF BB DSV hinten,1,0.4327164256620776
70,0,3845981,1668238,739437,494809,3338962,4853911,262806,706458,833853,433,629,359,1562,1249,0.6519097653847664,1803117,NF BB DSV vorne,1,0.4340291531666954
71,1,3837891,1670495,730979,490621,3186984,5264385,264082,708541,832805,435,694,359,1564,1251,0.6512888669422834,1805428,NF BB DSV vorne,1,0.431530759546097
72,2,3842308,1673113,740252,498055,3181133,5344566,261727,705644,833459,435,691,359,1512,1210,0.6336676020958848,1800830,NF BB DSV vorne,1,0.430523753130981
73,3,3835189,1668589,731703,495826,3183846,5447275,261943,706604,831498,435,688,356,1476,1180,0.6379808825455021,1800045,NF BB DSV vorne,1,0.4296369918824099
74,4,3859815,1663050,748722,490956,3179471,5514925,266835,707334,833181,430,703,363,1549,1239,0.6558044619543051,1807350,NF BB DSV vorne,1,0.4346108524552297
75,5,3848250,1675433,741111,490781,3173905,5588714,261763,705597,832312,435,693,365,1547,1238,0.6357446964692065,1799672,NF BB DSV vorne,1,0.4333595843666412
